Canton,Commune,nb_homme_salarie,nb_femme_salarie,nb_homme_non_salarie,nb_femme_non_salarie,employ_rate,employ_woman_rate,employ_men_rate,total_employes
Capellen,Dippach,910,880,100,70,0.9133,0.9263,0.901,1960
Capellen,Garnich,460,410,70,50,0.8788,0.8913,0.8679,990
Capellen,Habscht,1080,980,140,90,0.8996,0.9159,0.8852,2290
Capellen,Kehlen,1250,1150,210,150,0.8696,0.8846,0.8562,2760
Capellen,Koerich,540,480,80,40,0.8947,0.9231,0.871,1140
Capellen,Kopstal,780,770,200,110,0.8333,0.875,0.7959,1860
Capellen,Käerjeng,2200,2090,210,130,0.9266,0.9414,0.9129,4630
Capellen,Mamer,1780,1710,300,190,0.8769,0.9,0.8558,3980
Capellen,Steinfort,1180,1080,130,110,0.904,0.9076,0.9008,2500
Clervaux,Clervaux,1330,1130,150,100,0.9077,0.9187,0.8986,2710
Clervaux,Parc Hosingen,960,880,90,50,0.9293,0.9462,0.9143,1980
Clervaux,Troisvierges,770,610,100,40,0.9079,0.9385,0.8851,1520
Clervaux,Weiswampach,580,490,100,50,0.877,0.9074,0.8529,1220
Clervaux,Wincrange,930,880,200,100,0.8578,0.898,0.823,2110
Diekirch,Bettendorf,680,580,50,30,0.9403,0.9508,0.9315,1340
Diekirch,Bourscheid,420,340,50,30,0.9048,0.9189,0.8936,840
Diekirch,Diekirch,1560,1370,140,90,0.9272,0.9384,0.9176,3160
Diekirch,Erpeldange-sur-Sûre,560,490,50,40,0.9211,0.9245,0.918,1140
Diekirch,Ettelbruck,2110,1830,150,90,0.9426,0.9531,0.9336,4180
Diekirch,Feulen,540,480,40,30,0.9358,0.9412,0.931,1090
Diekirch,Mertzig,490,480,40,30,0.9327,0.9412,0.9245,1040
Diekirch,Reisdorf,320,280,20,20,0.9375,0.9333,0.9412,640
Diekirch,Schieren,500,470,40,30,0.9327,0.94,0.9259,1040
Diekirch,Vallée de l'Ernz,650,590,70,70,0.8986,0.8939,0.9028,1380
Echternach,Beaufort,670,590,50,30,0.9403,0.9516,0.9306,1340
Echternach,Bech,250,230,50,20,0.8727,0.92,0.8333,550
Echternach,Berdorf,440,390,40,40,0.9121,0.907,0.9167,910
Echternach,Consdorf,410,380,60,30,0.8977,0.9268,0.8723,880
Echternach,Echternach,1200,1060,110,80,0.9224,0.9298,0.916,2450
Echternach,Rosport-Mompach,750,700,100,60,0.9006,0.9211,0.8824,1610
Echternach,Waldbillig,450,420,50,30,0.9158,0.9333,0.9,950
Esch-Sur-Alzette,Bettembourg,2340,2170,200,180,0.9223,0.9234,0.9213,4890
Esch-Sur-Alzette,Differdange,7020,6150,280,250,0.9613,0.9609,0.9616,13700
Esch-Sur-Alzette,Dudelange,4660,4230,330,240,0.9397,0.9463,0.9339,9460
Esch-Sur-Alzette,Esch-sur-Alzette,8310,7130,480,320,0.9507,0.957,0.9454,16240
Esch-Sur-Alzette,Frisange,1010,960,130,60,0.912,0.9412,0.886,2160
Esch-Sur-Alzette,Kayl,2130,1970,120,100,0.9491,0.9517,0.9467,4320
Esch-Sur-Alzette,Leudelange,520,470,90,60,0.8684,0.8868,0.8525,1140
Esch-Sur-Alzette,Mondercange,1380,1240,170,100,0.9066,0.9254,0.8903,2890
Esch-Sur-Alzette,Pétange,4610,4070,230,200,0.9528,0.9532,0.9525,9110
Esch-Sur-Alzette,Reckange-sur-Mess,600,590,90,60,0.8881,0.9077,0.8696,1340
Esch-Sur-Alzette,Roeser,1520,1370,190,90,0.9117,0.9384,0.8889,3170
Esch-Sur-Alzette,Rumelange,1220,1050,70,60,0.9458,0.9459,0.9457,2400
Esch-Sur-Alzette,Sanem,4110,3800,300,190,0.9417,0.9524,0.932,8400
Esch-Sur-Alzette,Schifflange,2570,2360,150,110,0.9499,0.9555,0.9449,5190
Grevenmacher,Betzdorf,750,680,110,60,0.8938,0.9189,0.8721,1600
Grevenmacher,Biwer,370,320,40,30,0.9079,0.9143,0.9024,760
Grevenmacher,Flaxweiler,450,400,70,30,0.8947,0.9302,0.8654,950
Grevenmacher,Grevenmacher,1050,950,100,50,0.9302,0.95,0.913,2150
Grevenmacher,Junglinster,1600,1480,210,170,0.8902,0.897,0.884,3460
Grevenmacher,Manternach,460,450,60,30,0.91,0.9375,0.8846,1000
Grevenmacher,Mertert,1200,1060,80,70,0.9378,0.9381,0.9375,2410
Grevenmacher,Wormeldange,630,590,110,40,0.8905,0.9365,0.8514,1370
Luxembourg-Campagne,Bertrange,1660,1470,260,170,0.8792,0.8963,0.8646,3560
Luxembourg-Campagne,Contern,900,860,110,80,0.9026,0.9149,0.8911,1950
Luxembourg-Campagne,Hesperange,3410,3050,410,310,0.8997,0.9077,0.8927,7180
Luxembourg-Campagne,Niederanven,1020,940,230,160,0.834,0.8545,0.816,2350
Luxembourg-Campagne,Sandweiler,660,650,80,40,0.9161,0.942,0.8919,1430
Luxembourg-Campagne,Schuttrange,730,680,130,80,0.8704,0.8947,0.8488,1620
Luxembourg-Campagne,Steinsel,1100,1030,150,100,0.895,0.9115,0.88,2380
Luxembourg-Campagne,Strassen,2050,1890,310,210,0.8834,0.9,0.8686,4460
Luxembourg-Campagne,Walferdange,1700,1550,230,170,0.8904,0.9012,0.8808,3650
Luxembourg-Campagne,Weiler-la-Tour,490,460,60,40,0.9048,0.92,0.8909,1050
Luxembourg-Ville,Luxembourg,27300,22690,3080,2110,0.9059,0.9149,0.8986,55180
Mersch,Bissen,780,730,60,40,0.9379,0.9481,0.9286,1610
Mersch,Colmar-Berg,550,530,30,20,0.9558,0.9636,0.9483,1130
Mersch,Fischbach,300,280,40,20,0.9062,0.9333,0.8824,640
Mersch,Heffingen,310,310,50,30,0.8857,0.9118,0.8611,700
Mersch,Helperknapp,1130,1010,100,90,0.9185,0.9182,0.9187,2330
Mersch,Larochette,530,470,30,20,0.9524,0.9592,0.9464,1050
Mersch,Lintgen,750,690,70,50,0.9231,0.9324,0.9146,1560
Mersch,Lorentzweiler,870,820,110,70,0.9037,0.9213,0.8878,1870
Mersch,Mersch,2240,2020,210,140,0.9241,0.9352,0.9143,4610
Mersch,Nommern,300,320,60,30,0.8732,0.9143,0.8333,710
Non déterminé,Non déterminé,60,50,10,10,0.8462,0.8333,0.8571,130
Redange,Beckerich,580,530,70,50,0.9024,0.9138,0.8923,1230
Redange,Ell,370,350,50,30,0.9,0.9211,0.881,800
Redange,Groussbus-Wal,510,480,60,40,0.9083,0.9231,0.8947,1090
Redange,Préizerdaul,380,340,40,30,0.9114,0.9189,0.9048,790
Redange,Rambrouch,1060,850,150,90,0.8884,0.9043,0.876,2150
Redange,Redange/Attert,600,590,90,50,0.8947,0.9219,0.8696,1330
Redange,Saeul,230,210,40,20,0.88,0.913,0.8519,500
Redange,Useldange,450,410,50,40,0.9053,0.9111,0.9,950
Redange,Vichten,330,300,30,10,0.9403,0.9677,0.9167,670
Remich,Bous-Waldbredimus,700,630,90,50,0.9048,0.9265,0.8861,1470
Remich,Dalheim,480,450,60,40,0.9029,0.9184,0.8889,1030
Remich,Lenningen,390,370,50,40,0.8941,0.9024,0.8864,850
Remich,Mondorf-les-Bains,1000,900,140,90,0.892,0.9091,0.8772,2130
Remich,Remich,790,720,90,60,0.9096,0.9231,0.8977,1660
