reference_period,job_IDnumber,individual_IDnumber,employer_IDnumber,temporary_jobs_employer_IDnumber,j_job_start_date,j_job_end_effective_date,j_contract_type,j_job_end_planned_date,j_contract_planned_duration,j_job_status,j_blue_collar,j_posted_worker,j_assisting_family_member,j_maternity_leave,j_activation_measure,j_activation_measure_type,j_trial_period,j_trial_period_end_date,j_trial_period_length,j_F_short_time_working,j_short_time_working_benefit,j_short_time_working_hours,j_F_month_base_wage,j_month_base_wage,j_F_month_additionnal_wage,j_month_additionnal_wage,j_F_month_overtime_wage,j_month_overtime_wage,j_F_month_total_wage,j_month_total_wage,j_F_nb_base_worked_hours,j_nb_base_worked_hours,j_F_nb_overtime_paid_hours,j_nb_overtime_paid_hours,j_F_nb_total_worked_hours,j_nb_total_worked_hours,j_F_nb_base_worked_hours_ADJ,j_nb_base_worked_hours_ADJ,j_F_nb_total_worked_hours_ADJ,j_nb_total_worked_hours_ADJ,j_F_hourly_base_wage,j_hourly_base_wage,j_F_hourly_total_wage,j_hourly_total_wage,j_F_official_stat
202502,JOB013389083863,ID1043321819,EMP7940265423,-9,202010,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,6044.91,-8,,-8,,1,6044.91,1,169.49,-8,,1,169.49,1,172.69,1,168.66,1,35.0,1,35.84,1
202411,JOB192832764835,ID1647525534,EMP0305641395,-9,202508,202509,1,202509,1,0,0,0,0,0,0,,0,,,0,,,1,7626.86,-8,,-8,,1,7626.86,1,163.21,-8,,1,163.21,1,161.66,1,163.76,1,47.18,1,46.57,1
202601,JOB845146270482,ID1669784801,EMP8148932528,-9,201606,202004,0,999909,-9,0,0,0,0,0,0,,1,201609,12.0,0,,,1,7196.11,-8,,-8,,1,7196.11,1,163.13,-8,,1,163.13,1,160.38,1,164.64,1,44.87,1,43.71,1
202608,JOB098393010310,ID3465787133,EMP5183473829,-9,202104,,0,999909,-9,0,1,0,0,0,0,,1,202105,4.0,0,,,1,3960.66,-8,,1,396.04,1,4356.71,1,165.6,1,11.039319231534032,1,176.63931923153402,1,165.39,1,176.429319231534,1,23.95,1,24.69,1
202401,JOB360260647468,ID7810801326,EMP7234309805,-9,202303,,0,999909,-9,0,1,0,0,0,0,,1,202309,26.0,0,,,1,2969.59,1,901.26,-8,,1,3870.84,1,161.04,-8,,1,161.04,1,161.65,1,162.17,1,18.37,1,23.87,1
202405,JOB118384251354,ID4624751079,EMP2784980841,-9,202303,,0,999909,-9,0,0,0,0,0,0,,0,,,0,,,1,5561.33,1,917.34,1,744.0,1,7222.67,1,162.74,1,14.514266709637912,1,177.25426670963793,1,163.96,1,178.47426670963793,1,33.92,1,40.47,1
202607,JOB801128059826,ID4624751079,-9,-9,201704,201706,-9,201706,2,2,-8,-9,0,0,0,,-9,,,-9,,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,-9,,1
202607,JOB330365414586,ID4216073375,EMP8501429401,-9,202110,202404,1,202404,6,0,0,0,0,0,0,,0,,,0,,,1,2979.11,-8,,-8,,1,2979.11,1,165.01,-8,,1,165.01,1,163.39,1,166.39,1,18.23,1,17.9,1
202602,JOB629946804436,ID1484656482,EMP9957773872,-9,202406,,0,999909,-9,0,0,0,0,0,0,,1,202409,12.0,0,,,1,4359.65,-8,,-8,,1,4359.65,1,168.75,-8,,1,168.75,1,166.72,1,165.54,1,26.15,1,26.34,1
202412,JOB788957986872,ID1632870831,EMP7743487347,TMP5466889373,202009,,0,999909,-9,0,0,0,0,0,1,PAN - Projet d'activité national,1,202012,12.0,0,,,1,5060.35,-8,,-8,,1,5060.35,1,163.01,-8,,1,163.01,1,164.35,1,160.17,1,30.79,1,31.59,1
