Date de référence,Canton,Commune,Genre,Statut,Nombre de personnes en emploi
2009.03.31,Capellen,Dippach,Femmes,Salariés,560
2009.03.31,Capellen,Dippach,Femmes,Non-salariés,50
2009.03.31,Capellen,Dippach,Hommes,Salariés,790
2009.03.31,Capellen,Dippach,Hommes,Non-salariés,90
2009.03.31,Capellen,Garnich,Femmes,Salariés,290
2009.03.31,Capellen,Garnich,Femmes,Non-salariés,30
2009.03.31,Capellen,Garnich,Hommes,Salariés,400
2009.03.31,Capellen,Garnich,Hommes,Non-salariés,60
2009.03.31,Capellen,Habscht,Femmes,Salariés,580
2009.03.31,Capellen,Habscht,Femmes,Non-salariés,50
2009.03.31,Capellen,Habscht,Hommes,Salariés,870
2009.03.31,Capellen,Habscht,Hommes,Non-salariés,80
2009.03.31,Capellen,Käerjeng,Femmes,Salariés,1560
2009.03.31,Capellen,Käerjeng,Femmes,Non-salariés,110
2009.03.31,Capellen,Käerjeng,Hommes,Salariés,2040
2009.03.31,Capellen,Käerjeng,Hommes,Non-salariés,170
2009.03.31,Capellen,Kehlen,Femmes,Salariés,750
2009.03.31,Capellen,Kehlen,Femmes,Non-salariés,100
2009.03.31,Capellen,Kehlen,Hommes,Salariés,980
2009.03.31,Capellen,Kehlen,Hommes,Non-salariés,160
2009.03.31,Capellen,Koerich,Femmes,Salariés,350
2009.03.31,Capellen,Koerich,Femmes,Non-salariés,50
2009.03.31,Capellen,Koerich,Hommes,Salariés,460
2009.03.31,Capellen,Koerich,Hommes,Non-salariés,60
2009.03.31,Capellen,Kopstal,Femmes,Salariés,460
2009.03.31,Capellen,Kopstal,Femmes,Non-salariés,60
2009.03.31,Capellen,Kopstal,Hommes,Salariés,510
2009.03.31,Capellen,Kopstal,Hommes,Non-salariés,130
2009.03.31,Capellen,Mamer,Femmes,Salariés,1090
2009.03.31,Capellen,Mamer,Femmes,Non-salariés,80
2009.03.31,Capellen,Mamer,Hommes,Salariés,1350
2009.03.31,Capellen,Mamer,Hommes,Non-salariés,190
2009.03.31,Capellen,Steinfort,Femmes,Salariés,710
2009.03.31,Capellen,Steinfort,Femmes,Non-salariés,60
2009.03.31,Capellen,Steinfort,Hommes,Salariés,910
2009.03.31,Capellen,Steinfort,Hommes,Non-salariés,100
2009.03.31,Clervaux,Clervaux,Femmes,Salariés,690
2009.03.31,Clervaux,Clervaux,Femmes,Non-salariés,90
2009.03.31,Clervaux,Clervaux,Hommes,Salariés,920
2009.03.31,Clervaux,Clervaux,Hommes,Non-salariés,150
2009.03.31,Clervaux,Parc Hosingen,Femmes,Salariés,470
2009.03.31,Clervaux,Parc Hosingen,Femmes,Non-salariés,70
2009.03.31,Clervaux,Parc Hosingen,Hommes,Salariés,610
2009.03.31,Clervaux,Parc Hosingen,Hommes,Non-salariés,90
2009.03.31,Clervaux,Troisvierges,Femmes,Salariés,420
2009.03.31,Clervaux,Troisvierges,Femmes,Non-salariés,60
2009.03.31,Clervaux,Troisvierges,Hommes,Salariés,600
2009.03.31,Clervaux,Troisvierges,Hommes,Non-salariés,100
2009.03.31,Clervaux,Weiswampach,Femmes,Salariés,200
2009.03.31,Clervaux,Weiswampach,Femmes,Non-salariés,40
2009.03.31,Clervaux,Weiswampach,Hommes,Salariés,270
2009.03.31,Clervaux,Weiswampach,Hommes,Non-salariés,70
2009.03.31,Clervaux,Wincrange,Femmes,Salariés,530
2009.03.31,Clervaux,Wincrange,Femmes,Non-salariés,140
2009.03.31,Clervaux,Wincrange,Hommes,Salariés,690
2009.03.31,Clervaux,Wincrange,Hommes,Non-salariés,230
2009.03.31,Diekirch,Bettendorf,Femmes,Salariés,430
2009.03.31,Diekirch,Bettendorf,Femmes,Non-salariés,30
2009.03.31,Diekirch,Bettendorf,Hommes,Salariés,570
2009.03.31,Diekirch,Bettendorf,Hommes,Non-salariés,60
2009.03.31,Diekirch,Bourscheid,Femmes,Salariés,190
2009.03.31,Diekirch,Bourscheid,Femmes,Non-salariés,40
2009.03.31,Diekirch,Bourscheid,Hommes,Salariés,290
2009.03.31,Diekirch,Bourscheid,Hommes,Non-salariés,50
2009.03.31,Diekirch,Diekirch,Femmes,Salariés,1020
2009.03.31,Diekirch,Diekirch,Femmes,Non-salariés,80
2009.03.31,Diekirch,Diekirch,Hommes,Salariés,1280
2009.03.31,Diekirch,Diekirch,Hommes,Non-salariés,110
2009.03.31,Diekirch,Erpeldange-sur-Sûre,Femmes,Salariés,400
2009.03.31,Diekirch,Erpeldange-sur-Sûre,Femmes,Non-salariés,40
2009.03.31,Diekirch,Erpeldange-sur-Sûre,Hommes,Salariés,480
2009.03.31,Diekirch,Erpeldange-sur-Sûre,Hommes,Non-salariés,50
2009.03.31,Diekirch,Ettelbruck,Femmes,Salariés,1360
2009.03.31,Diekirch,Ettelbruck,Femmes,Non-salariés,80
2009.03.31,Diekirch,Ettelbruck,Hommes,Salariés,1590
2009.03.31,Diekirch,Ettelbruck,Hommes,Non-salariés,160
2009.03.31,Diekirch,Feulen,Femmes,Salariés,290
2009.03.31,Diekirch,Feulen,Femmes,Non-salariés,20
2009.03.31,Diekirch,Feulen,Hommes,Salariés,360
2009.03.31,Diekirch,Feulen,Hommes,Non-salariés,40
2009.03.31,Diekirch,Mertzig,Femmes,Salariés,300
2009.03.31,Diekirch,Mertzig,Femmes,Non-salariés,20
2009.03.31,Diekirch,Mertzig,Hommes,Salariés,390
2009.03.31,Diekirch,Mertzig,Hommes,Non-salariés,30
2009.03.31,Diekirch,Reisdorf,Femmes,Salariés,140
2009.03.31,Diekirch,Reisdorf,Femmes,Non-salariés,10
2009.03.31,Diekirch,Reisdorf,Hommes,Salariés,220
2009.03.31,Diekirch,Reisdorf,Hommes,Non-salariés,40
2009.03.31,Diekirch,Schieren,Femmes,Salariés,290
2009.03.31,Diekirch,Schieren,Femmes,Non-salariés,10
2009.03.31,Diekirch,Schieren,Hommes,Salariés,350
2009.03.31,Diekirch,Schieren,Hommes,Non-salariés,20
2009.03.31,Diekirch,Vallée de l'Ernz,Femmes,Salariés,370
2009.03.31,Diekirch,Vallée de l'Ernz,Femmes,Non-salariés,40
2009.03.31,Diekirch,Vallée de l'Ernz,Hommes,Salariés,510
2009.03.31,Diekirch,Vallée de l'Ernz,Hommes,Non-salariés,80
2009.03.31,Echternach,Beaufort,Femmes,Salariés,340
2009.03.31,Echternach,Beaufort,Femmes,Non-salariés,40
2009.03.31,Echternach,Beaufort,Hommes,Salariés,460
2009.03.31,Echternach,Beaufort,Hommes,Non-salariés,40
2009.03.31,Echternach,Bech,Femmes,Salariés,160
2009.03.31,Echternach,Bech,Femmes,Non-salariés,20
2009.03.31,Echternach,Bech,Hommes,Salariés,200
2009.03.31,Echternach,Bech,Hommes,Non-salariés,40
2009.03.31,Echternach,Berdorf,Femmes,Salariés,220
2009.03.31,Echternach,Berdorf,Femmes,Non-salariés,30
2009.03.31,Echternach,Berdorf,Hommes,Salariés,310
2009.03.31,Echternach,Berdorf,Hommes,Non-salariés,40
2009.03.31,Echternach,Consdorf,Femmes,Salariés,280
2009.03.31,Echternach,Consdorf,Femmes,Non-salariés,30
2009.03.31,Echternach,Consdorf,Hommes,Salariés,370
2009.03.31,Echternach,Consdorf,Hommes,Non-salariés,50
2009.03.31,Echternach,Echternach,Femmes,Salariés,850
2009.03.31,Echternach,Echternach,Femmes,Non-salariés,70
2009.03.31,Echternach,Echternach,Hommes,Salariés,1020
2009.03.31,Echternach,Echternach,Hommes,Non-salariés,130
2009.03.31,Echternach,Rosport-Mompach,Femmes,Salariés,470
2009.03.31,Echternach,Rosport-Mompach,Femmes,Non-salariés,80
2009.03.31,Echternach,Rosport-Mompach,Hommes,Salariés,640
2009.03.31,Echternach,Rosport-Mompach,Hommes,Non-salariés,110
2009.03.31,Echternach,Waldbillig,Femmes,Salariés,220
2009.03.31,Echternach,Waldbillig,Femmes,Non-salariés,20
2009.03.31,Echternach,Waldbillig,Hommes,Salariés,280
2009.03.31,Echternach,Waldbillig,Hommes,Non-salariés,50
2009.03.31,Esch-Sur-Alzette,Bettembourg,Femmes,Salariés,1680
2009.03.31,Esch-Sur-Alzette,Bettembourg,Femmes,Non-salariés,80
2009.03.31,Esch-Sur-Alzette,Bettembourg,Hommes,Salariés,2050
2009.03.31,Esch-Sur-Alzette,Bettembourg,Hommes,Non-salariés,160
2009.03.31,Esch-Sur-Alzette,Differdange,Femmes,Salariés,3310
2009.03.31,Esch-Sur-Alzette,Differdange,Femmes,Non-salariés,140
2009.03.31,Esch-Sur-Alzette,Differdange,Hommes,Salariés,4710
2009.03.31,Esch-Sur-Alzette,Differdange,Hommes,Non-salariés,190
2009.03.31,Esch-Sur-Alzette,Dudelange,Femmes,Salariés,3170
2009.03.31,Esch-Sur-Alzette,Dudelange,Femmes,Non-salariés,170
2009.03.31,Esch-Sur-Alzette,Dudelange,Hommes,Salariés,3840
2009.03.31,Esch-Sur-Alzette,Dudelange,Hommes,Non-salariés,290
