field_name**,description**,data_type**,personally_identifiable_variable,required,max_allowed_value,min_allowed_value,variable_unit,allowed_values,allowed_values_description,is_authentic_source
Matricule,Matricule du demandeur d'emploi (13 chiffres),Integer,true,true,,,,numéro à 13 chiffres,,false
Nom,Nom de famille du demandeur d'emploi,String,true,true,,,,,,false
Prenom,Prénom du demandeur d'emploi,String,true,true,,,,,,false
Genre,Genre du demandeur d'emploi,String,true,true,,,,"[Masculin, Féminin]",,false
Date_Naissance,Date de naissance du demandeur d'emploi,String,true,true,,,,,,false
Pays_Naissance,Pays de naissance du demandeur d'emploi,String,true,,,,,,,false
Lieu_Naissance,Commune de naissance du demandeur d'emploi,String,true,,,,,,,false
Nationalite,Nationalité du demandeur d'emploi,String,true,true,,,,liste de nationalités,,false
Type_Residence,Catégorie de résidence du demandeur d'emploi,String,true,true,,,,"résident, non-résident, inconnu",,false
Residence_Num_Rue,Numéro de rue de la résidence du demandeur d'emploi,String,true,true,,,,,,false
Residence_Rue,Rue de la résidence du demandeur d'emploi,String,true,true,,,,,,false
Residence_Code_Postal,Code postal de la résidence du demandeur d'emploi,String,true,true,,,,,,false
Residence_Localite,Code & Libellé de la localite de la résidence du demandeur d'emploi,String,true,true,,,,exemple: 110502,exemple: Echternach,false
Residence_Commune,Commune de la résidence du demandeur d'emploi,String,true,true,,,,exemple: Echternach,,false
Residence_Pays,Pays de résidence du demandeur d'emploi,String,true,true,,,,liste de pays,,false
Etat_Civil,Etat civil du demandeur d'emploi,String,true,false,,,,"[Célibataire, Divorcé, Inconnu, Marié, PA, Séparé, Veuf]",,false
Enfants,Indicateur si le demandeur d'emploi a des enfants à charge,String,true,false,,,,"[Oui, Non, Inconnu]",,false
Statut_SH,Indicateur si le demandeur d'emploi a un statut de salarié handicapé,Boolean,true,true,,,,,,false
Orientation_SH,"Orientation du salarié handicapé (marché ordinaire, atelier protégé)",String,true,,,,,"[Atelier protégé, Marché ordinaire, Inconnu]",,false
Statut_CTR,Indicateur si le demandeur d'emploi a un statut de capacité de travail réduite / reclassement externe,Boolean,true,true,,,,,,false
REVIS,Indicateur si le demandeur d'emploi touche au REVIS (revenu d'inclusion sociale),Boolean,true,true,,,,,,false
Titre_Sejour,"Code et libellé du titre de séjour du demandeur d'emploi, s'il y a un titre en cours",String,true,,,,,"[065, 100, 109, …]","[065=Membre de famille (UE avec hors UE), 100=Protection internationale (BPI), 109=Protection temporaire (BPT), …]",false
Debut_Titre_Sejour,"Date de début du titre de séjour du demandeur d'emploi, s'il y a un titre en cours",String,true,,,,,,,false
Fin_Titre_Sejour,"Date de fin du titre de séjour du demandeur d'emploi, s'il y a un titre en cours",String,true,,,,,,,false
Autorisation_Travail_Debut,"Date de début de l'autorisation de travail, s'il y a une autorisation en cours (si le demandeur d'emploi n'a pas besoin d'autorisation spécifique pour travailler au Luxembourg, ce champ reste vide)",String,true,,,,,,,false
Autorisation_Travail_Fin,"Date de fin de l'autorisation de travail, s'il y a une autorisation en cours",String,true,,,,,,,false
Autorisation_Travail_ISCO,"Métier(s) (selon classification ISCO/CITP) de l'autorisation de travail, qui définit dans quel métier le demandeur peut travailler",String,true,false,,,,exemple: 2411,Code lié aux métiers de la classification ISCO,false
Metier_ROME_1,"Code & libellé du 1er métier ciblé par le demandeur d'emploi, selon la classification ROME",String,true,,,,,exemple: M1607,Code lié aux métiers du référentiel ROME,false
Metier_ROME_1_Appellation,"Libellé de le la 1ère appellation (niveau plus granulaire que le métier) ciblée par le demandeur d'emploi, selon la classification ROME",String,true,,,,,exemple: Secrétaire juridique,Libellé lié aux métiers du référentiel ROME,false
