id,t,sensor1,sensor2
0,0,-0.46427649,2.6173319
0,1,-0.55504787,3.230977
0,2,-0.8428431,2.8508
0,3,-0.86589548,2.7514559
0,4,-0.93639631,2.3456567
0,5,-0.81726995,2.2745974
0,6,-0.26361216,1.9897641
0,7,-1.2580483,1.848995
0,8,-1.2503934,1.4532902
0,9,-0.91830825,1.3171126
0,10,-0.92210226,1.1622984
0,11,-0.98448828,0.97909615
0,12,-1.2880511,0.767475
0,13,-1.14346,-0.27062548
0,14,-1.0488611,1.494378
0,15,-0.36538582,1.4456604
0,16,-0.6913952,1.2830421
0,17,-0.98055025,1.1554104
0,18,-0.99133601,0.7314147
0,19,-0.88708673,0.53897859
0,20,-1.109881,0.26044735
0,21,-0.7687248,0.058328907
0,22,-1.0102962,-0.30428806
0,23,-0.84699606,-0.60378256
0,24,-1.3277464,-0.92625117
0,25,-0.7129093,-1.0126142
0,26,-1.2977275,1.855898
0,27,1.3314643,1.5001129
0,28,0.9357379,1.3892802
0,29,1.2360468,0.9980904
1,0,-0.89697208,1.9822955
1,1,-0.68568553,3.4956068
1,2,-1.3513818,3.1081047
1,3,-1.4586668,2.9702011
1,4,-1.1653456,2.5463235
1,5,-1.4039293,2.4592055
1,6,-1.8217996,2.1733005
1,7,-0.83160109,1.9541655
1,8,-1.0163124,1.3549716
1,9,-0.8035304,1.2976965
1,10,-1.2595048,0.9832385
1,11,-1.1392341,0.77695539
1,12,-0.87865203,0.098926953
1,13,-1.5487249,-0.5066285
1,14,-0.9241581,1.5279592
1,15,-1.3954822,1.4894561
1,16,0.77660864,1.3467299
1,17,1.1007268,1.2312524
1,18,1.1898043,1.0021258
1,19,0.37514764,0.71870855
1,20,0.94718837,0.4821345
1,21,0.8037129,0.13885372
1,22,1.1572852,-0.33235267
1,23,0.88679201,-0.65793282
1,24,1.0371525,-0.8736027
1,25,0.81501468,-0.75131932
1,26,0.79083989,1.9997371
1,27,0.54121132,1.6976963
1,28,0.85833113,1.5681159
1,29,0.6733739,1.0839054
2,0,-0.46469596,4.8586386
2,1,-0.56773891,4.5758307
2,2,-0.032022764,4.14975
2,3,-0.63504562,3.9891642
2,4,-0.60282554,3.04877
2,5,-0.26685628,2.8938391
2,6,-0.26706128,2.2542844
2,7,-0.9310423,2.2125691
2,8,-0.44938186,1.2968976
2,9,-0.721342,1.1424592
2,10,-0.39727192,1.0596835
2,11,-0.96212589,0.1406308
2,12,-1.4206669,-0.35443877
2,13,-0.78343411,-0.70572137
2,14,-0.46238569,1.1515714
2,15,-1.1762238,0.98378294
2,16,-0.50163816,0.64709613
2,17,-0.584869,0.33396074
2,18,-0.57916338,-0.10039149
2,19,-0.92129812,-0.29232415
2,20,-0.71637765,-0.70014763
2,21,-0.54778741,-0.75255249
2,22,-0.99084424,-0.39101663
2,23,-0.1464663,-0.084371696
2,24,-0.72003478,-0.37453884
2,25,1.158976,-0.5330541
2,26,0.67671541,1.882859
2,27,1.4286689,1.3575706
2,28,1.4453657,1.2266713
2,29,1.3205576,0.43056318
3,0,-0.18718975,1.2359911
3,1,-0.62080772,3.7163457
3,2,-0.8156607,3.2951824
3,3,-0.52139796,3.1181442
3,4,-0.7904229,2.6496321
3,5,-0.96751744,2.5397009
3,6,-1.4870063,2.1628273
3,7,-0.27788714,1.8094291
3,8,-0.83507474,0.7572368
3,9,0.050591042,0.56834325
3,10,-0.81116835,-0.22156531
3,11,-1.2260083,-0.52214537
3,12,-0.66836044,-1.1688426
3,13,-0.7766806,-0.9571823
3,14,0.064061697,0.96158268
3,15,-1.2536498,1.0535808
3,16,-0.78899054,1.0223932
3,17,-0.93422178,1.0148857
3,18,-1.093595,0.96338155
3,19,-0.60790424,0.89427573
3,20,-0.70272797,0.76551117
3,21,0.018322662,0.59333699
3,22,2.9755749,0.16608921
3,23,2.6772836,-0.30310012
3,24,2.3958002,-0.84448622
3,25,1.4215092,-0.90383451
3,26,1.977175,1.9254082
3,27,2.5777637,1.6323301
3,28,1.7979973,1.5238642
3,29,2.0809778,1.087424
4,0,-1.1360166,4.1620843
4,1,-1.3191953,4.0772493
4,2,-1.8446238,3.6477357
4,3,-0.78869178,3.553078
4,4,-0.2517154,3.0600771
4,5,-1.4876032,2.8388383
4,6,-0.66876407,2.5530063
4,7,-0.34036037,2.1887308
4,8,-1.0463815,1.5886501
4,9,-0.31221353,1.2968496
4,10,-1.0314417,0.97566197
4,11,-1.200578,0.77048296
4,12,-0.65047603,0.10373958
4,13,-1.6195842,-0.68649396
4,14,-0.41275132,1.3615682
4,15,-1.0506705,1.2195503
4,16,-1.1751243,0.92115182
4,17,-0.42783798,0.7636293
4,18,-1.2002837,0.38007229
4,19,-0.58726538,0.087279821
4,20,-1.1734667,-0.16378046
4,21,-0.31876559,-0.48458872
4,22,-1.7099666,-0.81038717
4,23,-1.6916216,-0.6513017
4,24,-1.0547829,-0.56476062
4,25,-1.3315449,-0.63363577
4,26,-0.68978191,1.8540508
4,27,-0.74499051,1.5558469
4,28,-0.98390993,1.2927124
4,29,-1.191218,0.67727964
5,0,-0.56870868,1.430219
5,1,-0.88811805,4.0142605
5,2,-0.047976584,3.5665955
5,3,-0.038036109,3.4447707
5,4,-0.48306827,2.8603575
5,5,-1.0946887,2.7376837
5,6,-0.95345287,2.2761521
5,7,-0.030006881,1.8101546
5,8,-0.79545456,0.02156169
5,9,-0.51445458,-0.10365485
5,10,-0.71876142,-0.97359014
5,11,-0.51627228,-1.0610618
5,12,-1.0740292,-0.93669673
5,13,-0.43143528,-1.0079285
5,14,-0.70491401,0.32930651
5,15,0.081199243,0.53409714
5,16,-0.18071334,0.56344628
5,17,-0.41380542,0.58794532
5,18,-1.2541398,0.79723195
5,19,0.62861272,0.79693986
5,20,0.10925689,0.85908679
5,21,-0.40352451,0.7900836
5,22,0.29848983,0.31192523
5,23,-1.0170097,-0.31498247
