id,t,sensor3
0,0,0.11402523
0,1,0.10488982
0,2,0.095754406
0,3,0.086618991
0,4,0.086618991
0,5,0.086618991
0,6,0.077483576
0,7,0.077483576
0,8,0.077483576
0,9,0.077483576
0,10,0.077483576
0,11,0.077483576
0,12,0.077483576
0,13,0.077483576
0,14,0.077483576
0,15,0.077483576
0,16,0.077483576
0,17,0.068348162
0,18,0.068348162
0,19,0.068348162
0,20,0.068348162
0,21,0.068348162
0,22,0.068348162
0,23,0.068348162
0,24,0.068348162
0,25,0.068348162
0,26,0.077483576
0,27,0.077483576
0,28,0.077483576
0,29,0.077483576
0,30,0.086618991
0,31,0.086618991
0,32,0.095754406
0,33,0.095754406
0,34,0.10488982
0,35,0.11402523
0,36,0.11402523
0,37,0.12316065
0,38,0.12316065
0,39,0.13229606
0,40,0.14143148
0,41,0.14143148
0,42,0.15056689
0,43,0.15970231
0,44,0.15970231
0,45,0.16883772
0,46,0.17797314
0,47,0.19624397
0,48,0.20537938
0,49,0.22365021
1,0,-0.83613657
1,1,-0.82292708
1,2,-0.81652248
1,3,-0.8193245
1,4,-0.83133312
1,5,-0.84974635
1,6,-0.86015383
1,7,-0.86135469
1,8,-0.85895296
1,9,-0.85495009
1,10,-0.8545498
1,11,-0.85695153
1,12,-0.85935325
1,13,-0.85935325
1,14,-0.85575066
1,15,-0.85094721
1,16,-0.84774491
1,17,-0.84574347
1,18,-0.84294146
1,19,-0.83933887
1,20,-0.835336
1,21,-0.83013226
1,22,-0.82212651
1,23,-0.80771616
1,24,-0.78730149
1,25,-0.76968884
1,26,-0.76368453
1,27,-0.76648654
1,28,-0.77169028
1,29,-0.77048942
1,30,-0.7484736
1,31,-0.69323392
1,32,-0.61878044
1,33,-0.56754364
1,34,-0.58515629
1,35,-0.646
1,36,-0.6940345
1,37,-0.70244054
1,38,-0.69763709
1,39,-0.70564284
1,40,-0.73166153
1,41,-0.75768022
1,42,-0.77369172
1,43,-0.77609344
1,44,-0.76368453
1,45,-0.73166153
1,46,-0.67402012
1,47,-0.59236147
1,48,-0.51230396
1,49,-0.46026658
2,0,-0.69571071
2,1,-0.70201547
2,2,-0.69531667
2,3,-0.6771905
2,4,-0.64054412
2,5,-0.55897637
2,6,-0.43603368
2,7,-0.3651052
2,8,-0.36116473
2,9,-0.3926885
2,10,-0.46755745
2,11,-0.52272404
2,12,-0.54360854
2,13,-0.55661209
2,14,-0.57946682
2,15,-0.63108699
2,16,-0.69334643
2,17,-0.72329401
2,18,-0.72723448
2,19,-0.7181714
2,20,-0.68073692
2,21,-0.63187508
2,22,-0.59483466
2,23,-0.57158588
2,24,-0.55621804
2,25,-0.54360854
2,26,-0.53060498
2,27,-0.5148431
2,28,-0.4872598
2,29,-0.44785509
2,30,-0.40845038
2,31,-0.38874803
2,32,-0.38874803
2,33,-0.40845038
2,34,-0.42815274
2,35,-0.43209321
2,36,-0.41633132
2,37,-0.39662897
2,38,-0.39662897
2,39,-0.43603368
2,40,-0.49514074
2,41,-0.53060498
2,42,-0.54676091
2,43,-0.55030734
2,44,-0.52272404
2,45,-0.46755745
2,46,-0.46361698
2,47,-0.49514074
2,48,-0.54439663
2,49,-0.5826192
3,0,-0.79889836
3,1,-0.78833125
3,2,-0.7802027
3,3,-0.77938985
3,4,-0.78060913
3,5,-0.78142198
3,6,-0.78060913
3,7,-0.77410629
3,8,-0.76353918
3,9,-0.7578492
3,10,-0.75662992
3,11,-0.75581707
3,12,-0.75297207
3,13,-0.74606281
3,14,-0.74159211
3,15,-0.74118568
3,16,-0.74403067
3,17,-0.74524996
3,18,-0.74240497
3,19,-0.72696073
3,20,-0.69241441
3,21,-0.65746166
3,22,-0.64689455
3,23,-0.65177168
3,24,-0.68062802
3,25,-0.70989078
3,26,-0.71273577
3,27,-0.68266015
3,28,-0.59568472
3,29,-0.53106278
3,30,-0.51886996
3,31,-0.54610059
3,32,-0.65258454
3,33,-0.72249003
3,34,-0.73712141
3,35,-0.71883218
3,36,-0.67168662
3,37,-0.65624238
3,38,-0.69200798
3,39,-0.7623199
