age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
31,Defender,1964.5,22,898,711,355.5,12,10,0,0,0,0,1,0,0,0
33,Midfielder,1607.0,18,497,740,370.0,8,10,0,1,0,0,1,0,0,0
30,Midfielder,2920.5,31,1200,1147,573.5,16,15,1,1,2,0,4,0,1,1
30,Midfielder,1671.0,30,699,648,324.0,15,15,0,2,2,0,0,0,0,0
20,Forward,121.5,4,24,65,32.5,2,2,0,0,0,0,0,0,0,0
23,Midfielder,3925.0,37,1615,1540,770.0,19,18,0,0,0,0,5,1,0,0
24,Midfielder,98.5,4,10,59,29.5,1,3,0,0,0,0,0,0,0,0
28,Midfielder,3835.0,37,1576,1506,753.0,19,18,0,3,2,0,7,0,0,0
26,Forward,821.5,15,478,229,114.5,9,6,1,1,2,1,2,0,2,1
23,Forward,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Midfielder,628.0,15,199,286,143.0,7,8,0,0,0,0,1,0,0,0
27,Defender,1298.0,16,473,550,275.0,8,8,0,0,0,0,5,0,0,0
29,Defender,2609.0,27,1061,1032,516.0,13,14,0,1,0,0,6,1,0,0
24,Forward,679.0,14,355,216,108.0,9,5,0,0,0,0,1,0,0,0
25,Midfielder,1202.5,31,325,585,292.5,13,18,0,0,1,0,1,0,0,0
23,Forward,759.5,23,344,277,138.5,12,11,0,0,0,0,0,0,0,0
34,Defender,2486.0,28,851,1090,545.0,13,15,0,0,0,0,3,0,0,0
34,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
32,Midfielder,153.0,4,18,90,45.0,2,2,0,0,0,0,0,0,0,0
23,Midfielder,1271.5,18,472,533,266.5,8,10,0,0,1,0,3,1,0,0
28,Defender,212.5,4,100,75,37.5,2,2,0,0,0,0,0,0,0,0
26,Forward,4140.0,39,1626,1676,838.0,19,20,1,8,3,0,7,0,1,1
24,Forward,2612.0,37,752,1240,620.0,19,18,0,1,2,0,0,0,0,0
31,Goalkeeper,2815.0,27,1180,1090,545.0,14,13,0,0,0,0,1,0,0,0
27,Midfielder,44.0,4,29,10,5.0,3,1,0,0,0,0,0,0,0,0
27,Midfielder,2667.0,32,1002,1110,555.0,15,17,0,1,1,0,2,0,0,0
31,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
25,Forward,224.0,14,131,62,31.0,9,5,0,0,0,0,0,0,0,0
29,Forward,3078.0,37,1413,1110,555.0,20,17,0,9,4,0,2,0,0,0
24,Forward,50.5,3,10,27,13.5,1,2,0,0,0,0,0,0,0,0
32,Forward,1147.0,22,397,500,250.0,11,11,0,1,0,0,3,0,0,0
23,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
27,Defender,1448.0,17,557,594,297.0,9,8,0,0,0,0,2,0,0,0
22,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
20,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
27,Forward,1311.0,21,504,538,269.0,10,11,0,0,0,0,2,0,0,0
28,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,1,0,0,0
28,Forward,1174.5,18,540,423,211.5,9,9,0,3,2,0,3,0,0,0
31,Midfielder,1822.5,24,627,797,398.5,11,13,0,0,2,0,4,0,0,0
27,Midfielder,2518.0,29,982,1024,512.0,14,15,0,1,0,0,7,0,0,0
29,Forward,1657.5,31,819,559,279.5,16,15,0,5,2,0,2,0,0,0
30,Midfielder,2085.5,26,839,831,415.5,13,13,0,3,3,0,2,0,0,0
25,Midfielder,2008.5,24,597,941,470.5,11,13,0,0,0,0,3,1,0,0
24,Defender,767.5,10,370,265,132.5,5,5,0,0,0,0,1,0,0,0
25,Midfielder,657.0,17,531,84,42.0,11,6,0,1,0,0,5,0,0,0
27,Defender,4054.0,38,1609,1630,815.0,19,19,0,0,0,0,4,0,0,0
34,Midfielder,1919.0,20,536,922,461.0,8,12,0,0,0,0,2,0,0,0
31,Forward,579.0,11,279,200,100.0,6,5,0,0,2,0,2,0,0,0
29,Midfielder,3766.5,40,1581,1457,728.5,20,20,0,2,4,0,1,0,0,0
32,Forward,616.0,14,190,284,142.0,7,7,0,0,0,0,2,0,0,0
20,Midfielder,50.0,4,35,10,5.0,3,1,0,0,0,0,0,0,0,0
32,Defender,2352.0,26,966,924,462.0,13,13,0,1,0,0,2,0,0,0
25,Goalkeeper,1375.0,14,550,550,275.0,7,7,0,0,0,0,0,0,0,0
21,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
29,Midfielder,2282.0,32,992,860,430.0,17,15,0,1,1,0,5,1,0,0
25,Forward,2088.0,29,753,890,445.0,12,17,1,4,6,0,2,0,1,1
26,Defender,31.0,3,10,14,7.0,1,2,0,0,0,0,0,0,0,0
28,Defender,3661.0,35,1360,1534,767.0,16,19,0,1,0,0,7,0,0,0
35,Defender,626.0,8,206,280,140.0,4,4,0,0,0,0,2,0,0,0
22,Goalkeeper,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
31,Midfielder,2816.0,30,1250,1044,522.0,15,15,0,1,0,0,5,0,0,0
27,Defender,2248.0,25,832,944,472.0,12,13,0,0,0,0,2,0,0,0
41,Goalkeeper,1375.0,14,550,550,275.0,7,7,0,0,0,0,2,0,0,0
31,Forward,2971.5,39,1317,1103,551.5,20,19,2,6,6,0,8,0,2,2
31,Midfielder,3493.0,36,1540,1302,651.0,19,17,0,0,2,0,5,0,0,0
35,Midfielder,3273.5,32,1217,1371,685.5,15,17,0,1,1,0,10,1,0,0
33,Goalkeeper,2725.0,26,1090,1090,545.0,13,13,0,0,0,0,0,0,0,0
26,Defender,3847.5,37,1536,1541,770.5,18,19,0,0,3,0,3,0,0,0
27,Forward,3655.5,39,1536,1413,706.5,20,19,0,9,3,0,2,0,0,0
32,Midfielder,58.5,6,18,27,13.5,4,2,0,0,0,0,0,0,0,0
0,Midfielder,32.0,3,17,10,5.0,2,1,0,0,0,0,0,0,0,0
24,Defender,4075.0,38,1630,1630,815.0,19,19,0,0,0,0,4,0,0,0
27,Defender,2325.5,29,926,933,466.5,14,15,0,0,0,0,2,0,0,0
37,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,1,0,0,0
28,Defender,88.0,3,73,10,5.0,2,1,0,1,0,0,1,0,0,0
33,Goalkeeper,713.0,9,293,280,140.0,5,4,0,0,0,0,0,0,0,0
31,Defender,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,9,0,0,0
23,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
21,Defender,64.0,4,10,36,18.0,1,3,0,0,0,0,0,0,0,0
21,Forward,119.5,3,10,73,36.5,1,2,0,0,0,0,0,0,0,0
26,Defender,1150.0,12,460,460,230.0,6,6,0,0,0,0,1,0,0,0
