primary_key,id,t,sensor1,sensor2
1,0,0,-0.46427649,2.6173319
2,0,1,-0.55504787,3.230977
3,0,2,-0.8428431,2.8508
4,0,3,-0.86589548,2.7514559
5,0,4,-0.93639631,2.3456567
6,0,5,-0.81726995,2.2745974
7,0,6,-0.26361216,1.9897641
8,0,7,-1.2580483,1.848995
9,0,8,-1.2503934,1.4532902
10,0,9,-0.91830825,1.3171126
11,0,10,-0.92210226,1.1622984
12,0,11,-0.98448828,0.97909615
13,0,12,-1.2880511,0.767475
14,0,13,-1.14346,-0.27062548
15,0,14,-1.0488611,1.494378
16,0,15,-0.36538582,1.4456604
17,0,16,-0.6913952,1.2830421
18,0,17,-0.98055025,1.1554104
19,0,18,-0.99133601,0.7314147
20,0,19,-0.88708673,0.53897859
21,0,20,-1.109881,0.26044735
22,0,21,-0.7687248,0.058328907
23,0,22,-1.0102962,-0.30428806
24,0,23,-0.84699606,-0.60378256
25,0,24,-1.3277464,-0.92625117
26,0,25,-0.7129093,-1.0126142
27,0,26,-1.2977275,1.855898
28,0,27,1.3314643,1.5001129
29,0,28,0.9357379,1.3892802
30,0,29,1.2360468,0.9980904
31,1,0,-0.89697208,1.9822955
32,1,1,-0.68568553,3.4956068
33,1,2,-1.3513818,3.1081047
34,1,3,-1.4586668,2.9702011
35,1,4,-1.1653456,2.5463235
36,1,5,-1.4039293,2.4592055
37,1,6,-1.8217996,2.1733005
38,1,7,-0.83160109,1.9541655
39,1,8,-1.0163124,1.3549716
40,1,9,-0.8035304,1.2976965
41,1,10,-1.2595048,0.9832385
42,1,11,-1.1392341,0.77695539
43,1,12,-0.87865203,0.098926953
44,1,13,-1.5487249,-0.5066285
45,1,14,-0.9241581,1.5279592
46,1,15,-1.3954822,1.4894561
47,1,16,0.77660864,1.3467299
48,1,17,1.1007268,1.2312524
49,1,18,1.1898043,1.0021258
50,1,19,0.37514764,0.71870855
51,1,20,0.94718837,0.4821345
52,1,21,0.8037129,0.13885372
53,1,22,1.1572852,-0.33235267
54,1,23,0.88679201,-0.65793282
55,1,24,1.0371525,-0.8736027
56,1,25,0.81501468,-0.75131932
57,1,26,0.79083989,1.9997371
58,1,27,0.54121132,1.6976963
59,1,28,0.85833113,1.5681159
60,1,29,0.6733739,1.0839054
61,2,0,-0.46469596,4.8586386
62,2,1,-0.56773891,4.5758307
63,2,2,-0.032022764,4.14975
64,2,3,-0.63504562,3.9891642
65,2,4,-0.60282554,3.04877
66,2,5,-0.26685628,2.8938391
67,2,6,-0.26706128,2.2542844
68,2,7,-0.9310423,2.2125691
69,2,8,-0.44938186,1.2968976
70,2,9,-0.721342,1.1424592
71,2,10,-0.39727192,1.0596835
72,2,11,-0.96212589,0.1406308
73,2,12,-1.4206669,-0.35443877
74,2,13,-0.78343411,-0.70572137
75,2,14,-0.46238569,1.1515714
76,2,15,-1.1762238,0.98378294
77,2,16,-0.50163816,0.64709613
78,2,17,-0.584869,0.33396074
79,2,18,-0.57916338,-0.10039149
80,2,19,-0.92129812,-0.29232415
81,2,20,-0.71637765,-0.70014763
82,2,21,-0.54778741,-0.75255249
83,2,22,-0.99084424,-0.39101663
84,2,23,-0.1464663,-0.084371696
85,2,24,-0.72003478,-0.37453884
86,2,25,1.158976,-0.5330541
87,2,26,0.67671541,1.882859
88,2,27,1.4286689,1.3575706
89,2,28,1.4453657,1.2266713
90,2,29,1.3205576,0.43056318
91,3,0,-0.18718975,1.2359911
92,3,1,-0.62080772,3.7163457
93,3,2,-0.8156607,3.2951824
94,3,3,-0.52139796,3.1181442
95,3,4,-0.7904229,2.6496321
96,3,5,-0.96751744,2.5397009
97,3,6,-1.4870063,2.1628273
98,3,7,-0.27788714,1.8094291
99,3,8,-0.83507474,0.7572368
100,3,9,0.050591042,0.56834325
101,3,10,-0.81116835,-0.22156531
102,3,11,-1.2260083,-0.52214537
103,3,12,-0.66836044,-1.1688426
104,3,13,-0.7766806,-0.9571823
105,3,14,0.064061697,0.96158268
106,3,15,-1.2536498,1.0535808
107,3,16,-0.78899054,1.0223932
108,3,17,-0.93422178,1.0148857
109,3,18,-1.093595,0.96338155
110,3,19,-0.60790424,0.89427573
111,3,20,-0.70272797,0.76551117
112,3,21,0.018322662,0.59333699
113,3,22,2.9755749,0.16608921
114,3,23,2.6772836,-0.30310012
115,3,24,2.3958002,-0.84448622
116,3,25,1.4215092,-0.90383451
117,3,26,1.977175,1.9254082
118,3,27,2.5777637,1.6323301
119,3,28,1.7979973,1.5238642
120,3,29,2.0809778,1.087424
121,4,0,-1.1360166,4.1620843
122,4,1,-1.3191953,4.0772493
123,4,2,-1.8446238,3.6477357
124,4,3,-0.78869178,3.553078
125,4,4,-0.2517154,3.0600771
126,4,5,-1.4876032,2.8388383
127,4,6,-0.66876407,2.5530063
128,4,7,-0.34036037,2.1887308
129,4,8,-1.0463815,1.5886501
130,4,9,-0.31221353,1.2968496
131,4,10,-1.0314417,0.97566197
132,4,11,-1.200578,0.77048296
133,4,12,-0.65047603,0.10373958
134,4,13,-1.6195842,-0.68649396
135,4,14,-0.41275132,1.3615682
136,4,15,-1.0506705,1.2195503
137,4,16,-1.1751243,0.92115182
138,4,17,-0.42783798,0.7636293
139,4,18,-1.2002837,0.38007229
140,4,19,-0.58726538,0.087279821
141,4,20,-1.1734667,-0.16378046
142,4,21,-0.31876559,-0.48458872
143,4,22,-1.7099666,-0.81038717
144,4,23,-1.6916216,-0.6513017
145,4,24,-1.0547829,-0.56476062
146,4,25,-1.3315449,-0.63363577
147,4,26,-0.68978191,1.8540508
148,4,27,-0.74499051,1.5558469
149,4,28,-0.98390993,1.2927124
150,4,29,-1.191218,0.67727964
151,5,0,-0.56870868,1.430219
152,5,1,-0.88811805,4.0142605
153,5,2,-0.047976584,3.5665955
154,5,3,-0.038036109,3.4447707
155,5,4,-0.48306827,2.8603575
156,5,5,-1.0946887,2.7376837
157,5,6,-0.95345287,2.2761521
158,5,7,-0.030006881,1.8101546
159,5,8,-0.79545456,0.02156169
160,5,9,-0.51445458,-0.10365485
161,5,10,-0.71876142,-0.97359014
162,5,11,-0.51627228,-1.0610618
163,5,12,-1.0740292,-0.93669673
164,5,13,-0.43143528,-1.0079285
165,5,14,-0.70491401,0.32930651
166,5,15,0.081199243,0.53409714
167,5,16,-0.18071334,0.56344628
168,5,17,-0.41380542,0.58794532
169,5,18,-1.2541398,0.79723195
170,5,19,0.62861272,0.79693986
171,5,20,0.10925689,0.85908679
172,5,21,-0.40352451,0.7900836
173,5,22,0.29848983,0.31192523
174,5,23,-1.0170097,-0.31498247
175,5,24,0.1060293,-0.78463615
176,5,25,-0.32393784,-0.82625719
177,5,26,-0.88263273,1.9544485
178,5,27,-0.078209774,1.6895819
179,5,28,-0.47673375,1.598512
180,5,29,0.30925792,1.0740035
181,6,0,-0.96583857,5.2353233
182,6,1,-1.6445832,5.2889744
183,6,2,-1.8059354,4.5455263
184,6,3,-1.4996576,3.6588732
185,6,4,-0.92008793,3.016288
186,6,5,-1.1157058,2.9450044
187,6,6,-0.65019532,2.3500449
188,6,7,-0.91876634,1.9923778
189,6,8,-1.234708,1.1674971
190,6,9,-0.765662,0.87649577
191,6,10,-1.2495334,0.70877165
192,6,11,-1.7374618,-0.26591321
193,6,12,-1.5279887,-0.57268863
194,6,13,-0.079232916,-0.70644048
195,6,14,-1.7740892,0.87830409
196,6,15,-1.4501069,0.67039301
197,6,16,-0.9725906,0.38361581
198,6,17,-1.1061039,-0.080093658
199,6,18,-0.58549992,-0.25973931
200,6,19,0.65617666,-0.49349116
201,6,20,0.94089133,-0.70460738
202,6,21,0.12330073,-0.71368187
203,6,22,0.94435084,-0.20326073
204,6,23,0.96544329,0.050476599
205,6,24,0.65410243,-0.23629814
206,6,25,1.1691103,-0.37778208
207,6,26,1.2845549,1.7514115
208,6,27,0.34596186,1.2817107
209,6,28,0.73807776,0.98111379
210,6,29,0.27179429,0.3644882
211,7,0,-0.26430177,4.2486647
212,7,1,-0.29092547,4.1606307
213,7,2,-0.59856716,3.7450229
214,7,3,-0.51886312,3.6193933
215,7,4,-0.48859389,3.0757056
216,7,5,-0.40709142,2.9680067
217,7,6,-1.0714885,2.3431695
218,7,7,-1.0957057,2.3094415
219,7,8,-0.58450283,1.5858513
220,7,9,-1.0579088,1.4620697
221,7,10,-1.2733656,1.1094183
222,7,11,-0.54356665,1.0135686
223,7,12,-0.71343161,0.4507432
224,7,13,-0.70303256,-0.25216209
225,7,14,-0.74443222,1.4502819
226,7,15,1.9816132,1.255313
227,7,16,1.6268814,0.94666024
228,7,17,1.8749989,0.66108492
229,7,18,2.4378736,0.32370245
230,7,19,1.4256901,0.06588851
231,7,20,1.6729608,-0.34475397
232,7,21,1.6064739,-0.54319997
233,7,22,1.9180064,-0.75329667
234,7,23,1.6707558,-0.46000197
235,7,24,2.5869829,-0.4600692
236,7,25,2.8834608,-0.57304084
237,7,26,1.6354691,2.0339092
238,7,27,0.87473842,1.4285743
239,7,28,1.921256,1.2846296
240,7,29,1.0056443,0.54494054
241,8,0,-0.80371556,1.2911747
242,8,1,-0.048160532,3.862564
243,8,2,-1.2992782,3.4088377
244,8,3,-1.0722798,3.2846905
245,8,4,-1.004018,2.7657991
246,8,5,-0.51145233,2.6173381
247,8,6,-1.1732155,2.1922254
248,8,7,-0.42206193,1.7562326
249,8,8,-0.77931962,0.47759099
250,8,9,-1.0305855,0.12847294
251,8,10,-0.93986722,0.036009627
252,8,11,-0.31624486,-1.3181726
253,8,12,-1.0157915,-1.1204757
254,8,13,-0.83954942,-1.1901398
255,8,14,-0.88175329,0.81958661
256,8,15,-0.52385893,0.79683488
257,8,16,-1.4943161,0.75989617
258,8,17,-0.97704229,0.76650041
259,8,18,-1.1854062,0.82258488
260,8,19,-0.53754605,0.7713662
261,8,20,-0.90970421,0.73323483
262,8,21,-0.99280885,0.58640646
263,8,22,-0.14404907,0.20126083
264,8,23,-0.41761158,-0.15642197
265,8,24,-0.92892552,-0.85405377
266,8,25,-0.98542965,-1.0846542
267,8,26,-0.74808792,1.8515949
268,8,27,-1.1212723,1.6209608
269,8,28,-0.59163954,1.4962559
270,8,29,-0.57610482,1.0046574
271,9,0,-1.1864222,4.6030782
272,9,1,-0.89319697,4.4546614
273,9,2,-0.97773692,3.9640607
274,9,3,-0.63410927,3.7564851
275,9,4,-1.3848198,3.2091996
276,9,5,-1.2719261,3.0212328
277,9,6,-1.2121711,2.5651131
278,9,7,-1.4527917,2.089175
279,9,8,-0.93441701,1.500656
280,9,9,-1.1184247,1.1675112
281,9,10,-1.2555297,1.0562353
282,9,11,-0.55306942,0.62330183
283,9,12,-0.84833881,-0.5699884
284,9,13,-0.59113391,-0.71620957
