primary_key,id,t,sensor3
1,0,0,0.11402523
2,0,1,0.10488982
3,0,2,0.095754406
4,0,3,0.086618991
5,0,4,0.086618991
6,0,5,0.086618991
7,0,6,0.077483576
8,0,7,0.077483576
9,0,8,0.077483576
10,0,9,0.077483576
11,0,10,0.077483576
12,0,11,0.077483576
13,0,12,0.077483576
14,0,13,0.077483576
15,0,14,0.077483576
16,0,15,0.077483576
17,0,16,0.077483576
18,0,17,0.068348162
19,0,18,0.068348162
20,0,19,0.068348162
21,0,20,0.068348162
22,0,21,0.068348162
23,0,22,0.068348162
24,0,23,0.068348162
25,0,24,0.068348162
26,0,25,0.068348162
27,0,26,0.077483576
28,0,27,0.077483576
29,0,28,0.077483576
30,0,29,0.077483576
31,0,30,0.086618991
32,0,31,0.086618991
33,0,32,0.095754406
34,0,33,0.095754406
35,0,34,0.10488982
36,0,35,0.11402523
37,0,36,0.11402523
38,0,37,0.12316065
39,0,38,0.12316065
40,0,39,0.13229606
41,0,40,0.14143148
42,0,41,0.14143148
43,0,42,0.15056689
44,0,43,0.15970231
45,0,44,0.15970231
46,0,45,0.16883772
47,0,46,0.17797314
48,0,47,0.19624397
49,0,48,0.20537938
50,0,49,0.22365021
51,1,0,-0.83613657
52,1,1,-0.82292708
53,1,2,-0.81652248
54,1,3,-0.8193245
55,1,4,-0.83133312
56,1,5,-0.84974635
57,1,6,-0.86015383
58,1,7,-0.86135469
59,1,8,-0.85895296
60,1,9,-0.85495009
61,1,10,-0.8545498
62,1,11,-0.85695153
63,1,12,-0.85935325
64,1,13,-0.85935325
65,1,14,-0.85575066
66,1,15,-0.85094721
67,1,16,-0.84774491
68,1,17,-0.84574347
69,1,18,-0.84294146
70,1,19,-0.83933887
71,1,20,-0.835336
72,1,21,-0.83013226
73,1,22,-0.82212651
74,1,23,-0.80771616
75,1,24,-0.78730149
76,1,25,-0.76968884
77,1,26,-0.76368453
78,1,27,-0.76648654
79,1,28,-0.77169028
80,1,29,-0.77048942
81,1,30,-0.7484736
82,1,31,-0.69323392
83,1,32,-0.61878044
84,1,33,-0.56754364
85,1,34,-0.58515629
86,1,35,-0.646
87,1,36,-0.6940345
88,1,37,-0.70244054
89,1,38,-0.69763709
90,1,39,-0.70564284
91,1,40,-0.73166153
92,1,41,-0.75768022
93,1,42,-0.77369172
94,1,43,-0.77609344
95,1,44,-0.76368453
96,1,45,-0.73166153
97,1,46,-0.67402012
98,1,47,-0.59236147
99,1,48,-0.51230396
100,1,49,-0.46026658
101,2,0,-0.69571071
102,2,1,-0.70201547
103,2,2,-0.69531667
104,2,3,-0.6771905
105,2,4,-0.64054412
106,2,5,-0.55897637
107,2,6,-0.43603368
108,2,7,-0.3651052
109,2,8,-0.36116473
110,2,9,-0.3926885
111,2,10,-0.46755745
112,2,11,-0.52272404
113,2,12,-0.54360854
114,2,13,-0.55661209
115,2,14,-0.57946682
116,2,15,-0.63108699
117,2,16,-0.69334643
118,2,17,-0.72329401
119,2,18,-0.72723448
120,2,19,-0.7181714
121,2,20,-0.68073692
122,2,21,-0.63187508
123,2,22,-0.59483466
124,2,23,-0.57158588
125,2,24,-0.55621804
126,2,25,-0.54360854
127,2,26,-0.53060498
128,2,27,-0.5148431
129,2,28,-0.4872598
130,2,29,-0.44785509
131,2,30,-0.40845038
132,2,31,-0.38874803
133,2,32,-0.38874803
134,2,33,-0.40845038
135,2,34,-0.42815274
136,2,35,-0.43209321
137,2,36,-0.41633132
138,2,37,-0.39662897
139,2,38,-0.39662897
140,2,39,-0.43603368
141,2,40,-0.49514074
142,2,41,-0.53060498
143,2,42,-0.54676091
144,2,43,-0.55030734
145,2,44,-0.52272404
146,2,45,-0.46755745
147,2,46,-0.46361698
148,2,47,-0.49514074
149,2,48,-0.54439663
150,2,49,-0.5826192
151,3,0,-0.79889836
152,3,1,-0.78833125
153,3,2,-0.7802027
154,3,3,-0.77938985
155,3,4,-0.78060913
156,3,5,-0.78142198
157,3,6,-0.78060913
158,3,7,-0.77410629
159,3,8,-0.76353918
160,3,9,-0.7578492
161,3,10,-0.75662992
162,3,11,-0.75581707
163,3,12,-0.75297207
164,3,13,-0.74606281
165,3,14,-0.74159211
166,3,15,-0.74118568
167,3,16,-0.74403067
168,3,17,-0.74524996
169,3,18,-0.74240497
170,3,19,-0.72696073
171,3,20,-0.69241441
172,3,21,-0.65746166
173,3,22,-0.64689455
174,3,23,-0.65177168
175,3,24,-0.68062802
176,3,25,-0.70989078
177,3,26,-0.71273577
178,3,27,-0.68266015
179,3,28,-0.59568472
180,3,29,-0.53106278
181,3,30,-0.51886996
182,3,31,-0.54610059
183,3,32,-0.65258454
184,3,33,-0.72249003
185,3,34,-0.73712141
186,3,35,-0.71883218
187,3,36,-0.67168662
188,3,37,-0.65624238
189,3,38,-0.69200798
190,3,39,-0.7623199
191,3,40,-0.80174335
192,3,41,-0.81190403
193,3,42,-0.79849193
194,3,43,-0.7667906
195,3,44,-0.70948436
196,3,45,-0.62494748
197,3,46,-0.5432556
198,3,47,-0.50261287
199,3,48,-0.48635578
200,3,49,-0.47009869
201,4,0,-0.52349228
202,4,1,-0.43097528
203,4,2,-0.37810842
204,4,3,-0.35828335
205,4,4,-0.36489171
206,4,5,-0.40454185
207,4,6,-0.50366721
208,4,7,-0.59618421
209,4,8,-0.629226
210,4,9,-0.63583435
211,4,10,-0.629226
212,4,11,-0.62261764
213,4,12,-0.629226
214,4,13,-0.65565942
215,4,14,-0.68209285
216,4,15,-0.68209285
217,4,16,-0.68209285
218,4,17,-0.66887614
219,4,18,-0.66226778
220,4,19,-0.65565942
221,4,20,-0.64905107
222,4,21,-0.64905107
223,4,22,-0.66226778
224,4,23,-0.66887614
225,4,24,-0.65565942
226,4,25,-0.62261764
227,4,26,-0.60279257
228,4,27,-0.60279257
229,4,28,-0.63583435
230,4,29,-0.6754845
231,4,30,-0.69530957
232,4,31,-0.68870121
233,4,32,-0.60279257
234,4,33,-0.38471678
235,4,34,-0.10055742
236,4,35,0.058043148
237,4,36,0.018393005
238,4,37,-0.33845828
239,4,38,-0.629226
240,4,39,-0.63583435
241,4,40,-0.536709
242,4,41,-0.52349228
243,4,42,-0.59618421
244,4,43,-0.68209285
245,4,44,-0.70852628
246,4,45,-0.68870121
247,4,46,-0.62261764
248,4,47,-0.51027557
249,4,48,-0.33845828
250,4,49,-0.12038249
251,5,0,-0.71382817
252,5,1,-0.75074031
253,5,2,-0.77940612
254,5,3,-0.7797988
255,5,4,-0.77233784
256,5,5,-0.75780859
257,5,6,-0.75270372
258,5,7,-0.75427445
259,5,8,-0.76055737
260,5,9,-0.76252078
261,5,10,-0.76095005
262,5,11,-0.7554525
263,5,12,-0.7464208
264,5,13,-0.73385497
265,5,14,-0.71618426
266,5,15,-0.69615746
267,5,16,-0.68162822
268,5,17,-0.67573798
269,5,18,-0.67377457
270,5,19,-0.67024043
271,5,20,-0.66277946
272,5,21,-0.65610386
273,5,22,-0.65492582
274,5,23,-0.65728191
275,5,24,-0.6686697
276,5,25,-0.67848676
277,5,26,-0.67652334
278,5,27,-0.64235998
279,5,28,-0.55557718
280,5,29,-0.44444808
281,5,30,-0.35413114
282,5,31,-0.32271655
283,5,32,-0.32271655
284,5,33,-0.40517985
285,5,34,-0.55950401
286,5,35,-0.65767459
287,5,36,-0.70165501
288,5,37,-0.71107939
289,5,38,-0.69772819
290,5,39,-0.68948186
291,5,40,-0.70047697
292,5,41,-0.70833061
293,5,42,-0.71029403
294,5,43,-0.68791113
295,5,44,-0.63725511
296,5,45,-0.55989669
297,5,46,-0.4483749
298,5,47,-0.32664338
299,5,48,-0.28344832
300,5,49,-0.28737514
301,6,0,-0.54048606
302,6,1,-0.52418155
303,6,2,-0.52418155
304,6,3,-0.53640994
305,6,4,-0.56290477
306,6,5,-0.58858438
307,6,6,-0.59429095
308,6,7,-0.5926605
309,6,8,-0.58532347
310,6,9,-0.57227986
311,6,10,-0.55719819
312,6,11,-0.54048606
313,6,12,-0.5160293
314,6,13,-0.49157253
315,6,14,-0.47934414
316,6,15,-0.47526802
317,6,16,-0.47526802
318,6,17,-0.47934414
319,6,18,-0.49157253
320,6,19,-0.50787704
321,6,20,-0.52418155
322,6,21,-0.54374697
323,6,22,-0.55352967
324,6,23,-0.55475251
325,6,24,-0.54700787
326,6,25,-0.52418155
327,6,26,-0.49157253
328,6,27,-0.46303963
329,6,28,-0.43450674
330,6,29,-0.40189771
331,6,30,-0.37744094
332,6,31,-0.36113643
333,6,32,-0.36113643
334,6,33,-0.36113643
335,6,34,-0.38151707
336,6,35,-0.41004997
337,6,36,-0.42635448
338,6,37,-0.43450674
339,6,38,-0.43450674
340,6,39,-0.38966933
341,6,40,-0.32037515
342,6,41,-0.24700485
343,6,42,-0.21847195
344,6,43,-0.24700485
345,6,44,-0.27961387
346,6,45,-0.27553774
347,6,46,-0.18993905
348,6,47,-0.018741677
349,6,48,0.14022732
350,6,49,0.22174988
351,7,0,-0.50260978
352,7,1,-0.52026184
353,7,2,-0.54968193
354,7,3,-0.58498603
355,7,4,-0.62617415
356,7,5,-0.65559424
357,7,6,-0.67913031
358,7,7,-0.68501433
359,7,8,-0.69089835
360,7,9,-0.68501433
361,7,10,-0.68501433
362,7,11,-0.6732463
363,7,12,-0.65559424
364,7,13,-0.63205817
365,7,14,-0.6085221
366,7,15,-0.57910201
367,7,16,-0.54379791
368,7,17,-0.50260978
369,7,18,-0.46142166
370,7,19,-0.41434952
371,7,20,-0.37904541
